Year,State,Region,District,County,Condition,Population,Cases,"Rate per 100,000"
2009,Virginia,Central,Chickahominy,Charles City,Campylobacteriosis,7217,2,27.7
2009,Virginia,Central,Chickahominy,Charles City,"Hepatitis B, chronic",7217,1,13.9
2009,Virginia,Central,Chickahominy,Charles City,"Hepatitis C, chronic",7217,15,207.8
2009,Virginia,Central,Chickahominy,Charles City,Lyme disease,7217,1,13.9
2009,Virginia,Central,Chickahominy,Charles City,Salmonellosis,7217,6,83.1
2009,Virginia,Central,Chickahominy,Charles City,Varicella (Chickenpox),7217,3,41.6
2009,Virginia,Central,Chickahominy,Goochland,Campylobacteriosis,21311,4,18.8
2009,Virginia,Central,Chickahominy,Goochland,Giardiasis,21311,1,4.7
2009,Virginia,Central,Chickahominy,Goochland,"Hepatitis C, chronic",21311,81,380.1
2009,Virginia,Central,Chickahominy,Goochland,Pertussis,21311,1,4.7
2009,Virginia,Central,Chickahominy,Goochland,Salmonellosis,21311,7,32.8
2009,Virginia,Central,Chickahominy,Goochland,Varicella (Chickenpox),21311,4,18.8
2009,Virginia,Central,Chickahominy,Hanover,Amebiasis,99933,2,2
2009,Virginia,Central,Chickahominy,Hanover,Campylobacteriosis,99933,11,11
2009,Virginia,Central,Chickahominy,Hanover,"Escherichia coli infection, Shiga Toxin-Producing",99933,3,3
2009,Virginia,Central,Chickahominy,Hanover,Giardiasis,99933,10,10
2009,Virginia,Central,Chickahominy,Hanover,"Haemophilus influenzae, invasive",99933,1,1
2009,Virginia,Central,Chickahominy,Hanover,Hemolytic uremic syndrome,99933,1,1
2009,Virginia,Central,Chickahominy,Hanover,Hepatitis A,99933,2,2
2009,Virginia,Central,Chickahominy,Hanover,"Hepatitis B, acute",99933,2,2
2009,Virginia,Central,Chickahominy,Hanover,"Hepatitis B, chronic",99933,7,7
2009,Virginia,Central,Chickahominy,Hanover,"Hepatitis C, chronic",99933,96,96.1
2009,Virginia,Central,Chickahominy,Hanover,"Lead, elevated levels",99933,1,1
2009,Virginia,Central,Chickahominy,Hanover,Lyme disease,99933,8,8
2009,Virginia,Central,Chickahominy,Hanover,Mumps,99933,1,1
2009,Virginia,Central,Chickahominy,Hanover,Pertussis,99933,10,10
2009,Virginia,Central,Chickahominy,Hanover,Salmonellosis,99933,13,13
2009,Virginia,Central,Chickahominy,Hanover,Shigellosis,99933,2,2
2009,Virginia,Central,Chickahominy,Hanover,Spotted Fever Rickettsiosis (including RMSF),99933,1,1
2009,Virginia,Central,Chickahominy,Hanover,Tuberculosis,99933,3,3
2009,Virginia,Central,Chickahominy,Hanover,Varicella (Chickenpox),99933,4,4
2009,Virginia,Central,Chickahominy,Hanover,"Vibriosis, non-cholera",99933,1,1
2009,Virginia,Central,Chickahominy,New Kent,Campylobacteriosis,18112,1,5.5
2009,Virginia,Central,Chickahominy,New Kent,"Escherichia coli infection, Shiga Toxin-Producing",18112,1,5.5
2009,Virginia,Central,Chickahominy,New Kent,Giardiasis,18112,2,11
2009,Virginia,Central,Chickahominy,New Kent,"Haemophilus influenzae, invasive",18112,1,5.5
2009,Virginia,Central,Chickahominy,New Kent,"Hepatitis B, chronic",18112,2,11
2009,Virginia,Central,Chickahominy,New Kent,"Hepatitis C, chronic",18112,58,320.2
2009,Virginia,Central,Chickahominy,New Kent,"Lead, elevated levels",18112,1,5.5
2009,Virginia,Central,Chickahominy,New Kent,Meningococcal disease,18112,1,5.5
2009,Virginia,Central,Chickahominy,New Kent,Salmonellosis,18112,2,11
2009,Virginia,Central,Chickahominy,New Kent,Varicella (Chickenpox),18112,3,16.6
2009,Virginia,Central,Crater,Dinwiddie,Campylobacteriosis,26338,2,7.6
2009,Virginia,Central,Crater,Dinwiddie,Cryptosporidiosis,26338,1,3.8
2009,Virginia,Central,Crater,Dinwiddie,Giardiasis,26338,1,3.8
2009,Virginia,Central,Crater,Dinwiddie,"Hepatitis B, chronic",26338,6,22.8
2009,Virginia,Central,Crater,Dinwiddie,"Hepatitis C, chronic",26338,27,102.5
2009,Virginia,Central,Crater,Dinwiddie,"Lead, elevated levels",26338,3,11.4
2009,Virginia,Central,Crater,Dinwiddie,Pertussis,26338,1,3.8
2009,Virginia,Central,Crater,Dinwiddie,Salmonellosis,26338,6,22.8
2009,Virginia,Central,Crater,Dinwiddie,Shigellosis,26338,3,11.4
2009,Virginia,Central,Crater,Dinwiddie,Spotted Fever Rickettsiosis (including RMSF),26338,1,3.8
2009,Virginia,Central,Crater,Dinwiddie,"Streptococcus, Group A, invasive",26338,1,3.8
2009,Virginia,Central,Crater,Dinwiddie,Tuberculosis,26338,1,3.8
2009,Virginia,Central,Crater,Dinwiddie,Varicella (Chickenpox),26338,6,22.8
2009,Virginia,Central,Crater,Emporia (city),"Hepatitis B, chronic",5635,1,17.7
2009,Virginia,Central,Crater,Emporia (city),"Hepatitis C, chronic",5635,8,142
2009,Virginia,Central,Crater,Emporia (city),"Lead, elevated levels",5635,2,35.5
2009,Virginia,Central,Crater,Emporia (city),Salmonellosis,5635,1,17.7
2009,Virginia,Central,Crater,Emporia (city),Spotted Fever Rickettsiosis (including RMSF),5635,1,17.7
2009,Virginia,Central,Crater,Greensville,"Hepatitis B, acute",12049,1,8.3
2009,Virginia,Central,Crater,Greensville,"Hepatitis B, chronic",12049,6,49.8
2009,Virginia,Central,Crater,Greensville,"Hepatitis C, chronic",12049,110,912.9
2009,Virginia,Central,Crater,Greensville,Salmonellosis,12049,1,8.3
2009,Virginia,Central,Crater,Greensville,Varicella (Chickenpox),12049,2,16.6
2009,Virginia,Central,Crater,Hopewell (city),Campylobacteriosis,23123,4,17.3
2009,Virginia,Central,Crater,Hopewell (city),"Haemophilus influenzae, invasive",23123,1,4.3
2009,Virginia,Central,Crater,Hopewell (city),"Hepatitis B, acute",23123,1,4.3
2009,Virginia,Central,Crater,Hopewell (city),"Hepatitis B, chronic",23123,3,13
2009,Virginia,Central,Crater,Hopewell (city),"Hepatitis C, chronic",23123,58,250.8
2009,Virginia,Central,Crater,Hopewell (city),Malaria,23123,1,4.3
2009,Virginia,Central,Crater,Hopewell (city),Pertussis,23123,1,4.3
2009,Virginia,Central,Crater,Hopewell (city),Salmonellosis,23123,2,8.6
2009,Virginia,Central,Crater,Hopewell (city),Varicella (Chickenpox),23123,2,8.6
2009,Virginia,Central,Crater,Petersburg (city),Campylobacteriosis,32986,3,9.1
2009,Virginia,Central,Crater,Petersburg (city),"Haemophilus influenzae, invasive",32986,1,3
2009,Virginia,Central,Crater,Petersburg (city),"Hepatitis B, acute",32986,1,3
2009,Virginia,Central,Crater,Petersburg (city),"Hepatitis B, chronic",32986,10,30.3
2009,Virginia,Central,Crater,Petersburg (city),"Hepatitis C, chronic",32986,97,294.1
2009,Virginia,Central,Crater,Petersburg (city),"Lead, elevated levels",32986,18,54.6
2009,Virginia,Central,Crater,Petersburg (city),Legionellosis,32986,1,3
2009,Virginia,Central,Crater,Petersburg (city),Lyme disease,32986,1,3
2009,Virginia,Central,Crater,Petersburg (city),Pertussis,32986,1,3
2009,Virginia,Central,Crater,Petersburg (city),Salmonellosis,32986,4,12.1
2009,Virginia,Central,Crater,Petersburg (city),Shigellosis,32986,1,3
2009,Virginia,Central,Crater,Petersburg (city),"Streptococcus, Group A, invasive",32986,1,3
2009,Virginia,Central,Crater,Petersburg (city),Tuberculosis,32986,5,15.2
2009,Virginia,Central,Crater,Petersburg (city),Varicella (Chickenpox),32986,2,6.1
2009,Virginia,Central,Crater,Prince George,Campylobacteriosis,37116,3,8.1
2009,Virginia,Central,Crater,Prince George,Giardiasis,37116,1,2.7
2009,Virginia,Central,Crater,Prince George,"Hepatitis B, acute",37116,1,2.7
2009,Virginia,Central,Crater,Prince George,"Hepatitis B, chronic",37116,7,18.9
2009,Virginia,Central,Crater,Prince George,"Hepatitis C, chronic",37116,36,97
2009,Virginia,Central,Crater,Prince George,Lyme disease,37116,2,5.4
2009,Virginia,Central,Crater,Prince George,Salmonellosis,37116,1,2.7
2009,Virginia,Central,Crater,Prince George,Spotted Fever Rickettsiosis (including RMSF),37116,3,8.1
2009,Virginia,Central,Crater,Prince George,Varicella (Chickenpox),37116,3,8.1
2009,Virginia,Central,Crater,Surry,Campylobacteriosis,7088,1,14.1
2009,Virginia,Central,Crater,Surry,Cryptosporidiosis,7088,1,14.1
2009,Virginia,Central,Crater,Surry,"Escherichia coli infection, Shiga Toxin-Producing",7088,1,14.1
2009,Virginia,Central,Crater,Surry,"Hepatitis B, chronic",7088,1,14.1
2009,Virginia,Central,Crater,Surry,"Hepatitis C, chronic",7088,3,42.3
2009,Virginia,Central,Crater,Surry,Salmonellosis,7088,1,14.1
2009,Virginia,Central,Crater,Surry,"Streptococcus, Group A, invasive",7088,1,14.1
2009,Virginia,Central,Crater,Sussex,Cryptosporidiosis,12116,1,8.3
2009,Virginia,Central,Crater,Sussex,Giardiasis,12116,1,8.3
2009,Virginia,Central,Crater,Sussex,"Hepatitis B, chronic",12116,3,24.8
2009,Virginia,Central,Crater,Sussex,"Hepatitis C, chronic",12116,24,198.1
2009,Virginia,Central,Crater,Sussex,"Lead, elevated levels",12116,2,16.5
2009,Virginia,Central,Crater,Sussex,Salmonellosis,12116,3,24.8
2009,Virginia,Central,Henrico,Henrico,Anaplasma/Ehrlichiosis,296415,3,1
2009,Virginia,Central,Henrico,Henrico,Brucellosis,296415,1,0.3
2009,Virginia,Central,Henrico,Henrico,Campylobacteriosis,296415,25,8.4
2009,Virginia,Central,Henrico,Henrico,Cryptosporidiosis,296415,2,0.7
2009,Virginia,Central,Henrico,Henrico,"Escherichia coli infection, Shiga Toxin-Producing",296415,3,1
2009,Virginia,Central,Henrico,Henrico,Giardiasis,296415,41,13.8
2009,Virginia,Central,Henrico,Henrico,"Haemophilus influenzae, invasive",296415,1,0.3
2009,Virginia,Central,Henrico,Henrico,Hepatitis A,296415,3,1
2009,Virginia,Central,Henrico,Henrico,"Hepatitis B, acute",296415,9,3
2009,Virginia,Central,Henrico,Henrico,"Hepatitis B, chronic",296415,69,23.3
2009,Virginia,Central,Henrico,Henrico,"Hepatitis C, acute",296415,2,0.7
2009,Virginia,Central,Henrico,Henrico,"Hepatitis C, chronic",296415,282,95.1
2009,Virginia,Central,Henrico,Henrico,"Lead, elevated levels",296415,14,4.7
2009,Virginia,Central,Henrico,Henrico,Legionellosis,296415,1,0.3
2009,Virginia,Central,Henrico,Henrico,Listeriosis,296415,2,0.7
2009,Virginia,Central,Henrico,Henrico,Lyme disease,296415,5,1.7
2009,Virginia,Central,Henrico,Henrico,Malaria,296415,2,0.7
2009,Virginia,Central,Henrico,Henrico,Meningococcal disease,296415,2,0.7
2009,Virginia,Central,Henrico,Henrico,Pertussis,296415,17,5.7
2009,Virginia,Central,Henrico,Henrico,Salmonellosis,296415,34,11.5
2009,Virginia,Central,Henrico,Henrico,Shigellosis,296415,8,2.7
2009,Virginia,Central,Henrico,Henrico,"Streptococcus pneumoniae, invasive (age lt 5)",296415,3,1
2009,Virginia,Central,Henrico,Henrico,"Streptococcus, Group A, invasive",296415,14,4.7
2009,Virginia,Central,Henrico,Henrico,Tuberculosis,296415,5,1.7
2009,Virginia,Central,Henrico,Henrico,Typhoid fever (Salmonella typhi),296415,2,0.7
2009,Virginia,Central,Henrico,Henrico,Varicella (Chickenpox),296415,19,6.4
2009,Virginia,Central,Henrico,Henrico,"Vibriosis, non-cholera",296415,1,0.3
2009,Virginia,Central,Henrico,Henrico,Yersiniosis,296415,1,0.3
2009,Virginia,Central,Piedmont,Amelia,"Hepatitis C, chronic",12886,5,38.8
2009,Virginia,Central,Piedmont,Amelia,Salmonellosis,12886,3,23.3
2009,Virginia,Central,Piedmont,Buckingham,"Hepatitis B, chronic",16080,3,18.7
2009,Virginia,Central,Piedmont,Buckingham,"Hepatitis C, chronic",16080,38,236.3
2009,Virginia,Central,Piedmont,Charlotte,"Hepatitis C, chronic",12039,4,33.2
2009,Virginia,Central,Piedmont,Charlotte,"Lead, elevated levels",12039,2,16.6
2009,Virginia,Central,Piedmont,Charlotte,Salmonellosis,12039,4,33.2
2009,Virginia,Central,Piedmont,Charlotte,Tuberculosis,12039,1,8.3
2009,Virginia,Central,Piedmont,Cumberland,Campylobacteriosis,9757,2,20.5
2009,Virginia,Central,Piedmont,Cumberland,"Hepatitis B, chronic",9757,2,20.5
2009,Virginia,Central,Piedmont,Cumberland,"Hepatitis C, chronic",9757,1,10.2
2009,Virginia,Central,Piedmont,Cumberland,"Lead, elevated levels",9757,1,10.2
2009,Virginia,Central,Piedmont,Cumberland,Salmonellosis,9757,2,20.5
2009,Virginia,Central,Piedmont,Lunenburg,"Escherichia coli infection, Shiga Toxin-Producing",12799,1,7.8
2009,Virginia,Central,Piedmont,Lunenburg,"Hepatitis B, chronic",12799,1,7.8
2009,Virginia,Central,Piedmont,Lunenburg,"Hepatitis C, chronic",12799,8,62.5
2009,Virginia,Central,Piedmont,Lunenburg,"Lead, elevated levels",12799,3,23.4
2009,Virginia,Central,Piedmont,Lunenburg,Salmonellosis,12799,1,7.8
2009,Virginia,Central,Piedmont,Nottoway,Campylobacteriosis,15929,1,6.3
2009,Virginia,Central,Piedmont,Nottoway,Giardiasis,15929,1,6.3
2009,Virginia,Central,Piedmont,Nottoway,"Haemophilus influenzae, invasive",15929,1,6.3
2009,Virginia,Central,Piedmont,Nottoway,"Hepatitis B, chronic",15929,2,12.6
2009,Virginia,Central,Piedmont,Nottoway,"Hepatitis C, chronic",15929,15,94.2
2009,Virginia,Central,Piedmont,Nottoway,"Lead, elevated levels",15929,6,37.7
2009,Virginia,Central,Piedmont,Nottoway,Lyme disease,15929,1,6.3
2009,Virginia,Central,Piedmont,Nottoway,Salmonellosis,15929,3,18.8
2009,Virginia,Central,Piedmont,Nottoway,"Streptococcus, Group A, invasive",15929,1,6.3
2009,Virginia,Central,Piedmont,Nottoway,Tuberculosis,15929,1,6.3
2009,Virginia,Central,Piedmont,Nottoway,Varicella (Chickenpox),15929,2,12.6
2009,Virginia,Central,Piedmont,Prince Edward,"Escherichia coli infection, Shiga Toxin-Producing",22370,1,4.5
2009,Virginia,Central,Piedmont,Prince Edward,Giardiasis,22370,2,8.9
2009,Virginia,Central,Piedmont,Prince Edward,"Hepatitis B, chronic",22370,1,4.5
2009,Virginia,Central,Piedmont,Prince Edward,"Hepatitis C, chronic",22370,13,58.1
2009,Virginia,Central,Piedmont,Prince Edward,"Lead, elevated levels",22370,2,8.9
2009,Virginia,Central,Piedmont,Prince Edward,Pertussis,22370,1,4.5
2009,Virginia,Central,Piedmont,Prince Edward,Salmonellosis,22370,5,22.4
2009,Virginia,Central,Piedmont,Prince Edward,Shigellosis,22370,2,8.9
2009,Virginia,Central,Richmond City,Richmond (city),Campylobacteriosis,204451,12,5.9
2009,Virginia,Central,Richmond City,Richmond (city),Chikungunya,204451,1,0.5
2009,Virginia,Central,Richmond City,Richmond (city),Cryptosporidiosis,204451,1,0.5
2009,Virginia,Central,Richmond City,Richmond (city),"Escherichia coli infection, Shiga Toxin-Producing",204451,2,1
2009,Virginia,Central,Richmond City,Richmond (city),Giardiasis,204451,13,6.4
2009,Virginia,Central,Richmond City,Richmond (city),"Haemophilus influenzae, invasive",204451,2,1
2009,Virginia,Central,Richmond City,Richmond (city),"Hepatitis B, acute",204451,19,9.3
2009,Virginia,Central,Richmond City,Richmond (city),"Hepatitis B, chronic",204451,66,32.3
2009,Virginia,Central,Richmond City,Richmond (city),"Hepatitis C, chronic",204451,399,195.2
2009,Virginia,Central,Richmond City,Richmond (city),"Lead, elevated levels",204451,59,28.9
2009,Virginia,Central,Richmond City,Richmond (city),Legionellosis,204451,2,1
2009,Virginia,Central,Richmond City,Richmond (city),Listeriosis,204451,2,1
2009,Virginia,Central,Richmond City,Richmond (city),Lyme disease,204451,6,2.9
2009,Virginia,Central,Richmond City,Richmond (city),Malaria,204451,1,0.5
2009,Virginia,Central,Richmond City,Richmond (city),Mumps,204451,1,0.5
2009,Virginia,Central,Richmond City,Richmond (city),Pertussis,204451,6,2.9
2009,Virginia,Central,Richmond City,Richmond (city),Salmonellosis,204451,29,14.2
2009,Virginia,Central,Richmond City,Richmond (city),Shigellosis,204451,19,9.3
2009,Virginia,Central,Richmond City,Richmond (city),Spotted Fever Rickettsiosis (including RMSF),204451,1,0.5
2009,Virginia,Central,Richmond City,Richmond (city),"Streptococcus pneumoniae, invasive (age lt 5)",204451,2,1
2009,Virginia,Central,Richmond City,Richmond (city),"Streptococcus, Group A, invasive",204451,9,4.4
2009,Virginia,Central,Richmond City,Richmond (city),Tuberculosis,204451,12,5.9
2009,Virginia,Central,Richmond City,Richmond (city),Typhoid fever (Salmonella typhi),204451,1,0.5
2009,Virginia,Central,Richmond City,Richmond (city),Varicella (Chickenpox),204451,10,4.9
2009,Virginia,Central,Richmond City,Richmond (city),"Vibriosis, non-cholera",204451,3,1.5
2009,Virginia,Central,Southside,Brunswick,"Hepatitis B, chronic",17514,1,5.7
2009,Virginia,Central,Southside,Brunswick,"Hepatitis C, chronic",17514,45,256.9
2009,Virginia,Central,Southside,Brunswick,"Lead, elevated levels",17514,1,5.7
2009,Virginia,Central,Southside,Brunswick,Salmonellosis,17514,3,17.1
2009,Virginia,Central,Southside,Brunswick,Varicella (Chickenpox),17514,4,22.8
2009,Virginia,Central,Southside,Brunswick,Yersiniosis,17514,1,5.7
2009,Virginia,Central,Southside,Halifax,Campylobacteriosis,35258,1,2.8
2009,Virginia,Central,Southside,Halifax,"Escherichia coli infection, Shiga Toxin-Producing",35258,1,2.8
2009,Virginia,Central,Southside,Halifax,Giardiasis,35258,1,2.8
2009,Virginia,Central,Southside,Halifax,"Hepatitis B, chronic",35258,4,11.3
2009,Virginia,Central,Southside,Halifax,"Hepatitis C, chronic",35258,15,42.5
2009,Virginia,Central,Southside,Halifax,"Lead, elevated levels",35258,1,2.8
2009,Virginia,Central,Southside,Halifax,Salmonellosis,35258,4,11.3
2009,Virginia,Central,Southside,Mecklenburg,Anaplasma/Ehrlichiosis,31969,1,3.1
2009,Virginia,Central,Southside,Mecklenburg,Campylobacteriosis,31969,5,15.6
2009,Virginia,Central,Southside,Mecklenburg,"Hepatitis B, chronic",31969,5,15.6
2009,Virginia,Central,Southside,Mecklenburg,"Hepatitis C, chronic",31969,63,197.1
2009,Virginia,Central,Southside,Mecklenburg,"Lead, elevated levels",31969,3,9.4
2009,Virginia,Central,Southside,Mecklenburg,Lyme disease,31969,1,3.1
2009,Virginia,Central,Southside,Mecklenburg,Malaria,31969,1,3.1
2009,Virginia,Central,Southside,Mecklenburg,Salmonellosis,31969,4,12.5
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Campylobacteriosis,222455,15,6.7
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Cryptosporidiosis,222455,1,0.4
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Escherichia coli infection, Shiga Toxin-Producing",222455,2,0.9
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Giardiasis,222455,7,3.1
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Haemophilus influenzae, invasive",222455,4,1.8
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Hepatitis B, acute",222455,3,1.3
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Hepatitis B, chronic",222455,31,13.9
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Hepatitis C, acute",222455,1,0.4
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Hepatitis C, chronic",222455,153,68.8
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Lead, elevated levels",222455,6,2.7
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Legionellosis,222455,1,0.4
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Lyme disease,222455,5,2.2
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Malaria,222455,2,0.9
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Pertussis,222455,6,2.7
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Salmonellosis,222455,37,16.6
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Streptococcus pneumoniae, invasive (age lt 5)",222455,3,1.3
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Streptococcus, Group A, invasive",222455,6,2.7
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),"Toxic-shock syndrome, streptococcal",222455,1,0.4
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Tuberculosis,222455,6,2.7
2009,Virginia,Eastern,Chesapeake,Chesapeake (city),Varicella (Chickenpox),222455,23,10.3
2009,Virginia,Eastern,Eastern Shore,Accomack,Campylobacteriosis,38462,3,7.8
2009,Virginia,Eastern,Eastern Shore,Accomack,Cryptosporidiosis,38462,2,5.2
2009,Virginia,Eastern,Eastern Shore,Accomack,Giardiasis,38462,2,5.2
2009,Virginia,Eastern,Eastern Shore,Accomack,Hepatitis A,38462,1,2.6
2009,Virginia,Eastern,Eastern Shore,Accomack,"Hepatitis B, acute",38462,1,2.6
2009,Virginia,Eastern,Eastern Shore,Accomack,"Hepatitis B, chronic",38462,4,10.4
2009,Virginia,Eastern,Eastern Shore,Accomack,"Hepatitis C, chronic",38462,40,104
2009,Virginia,Eastern,Eastern Shore,Accomack,"Lead, elevated levels",38462,7,18.2
2009,Virginia,Eastern,Eastern Shore,Accomack,Listeriosis,38462,2,5.2
2009,Virginia,Eastern,Eastern Shore,Accomack,Lyme disease,38462,13,33.8
2009,Virginia,Eastern,Eastern Shore,Accomack,Pertussis,38462,2,5.2
2009,Virginia,Eastern,Eastern Shore,Accomack,Salmonellosis,38462,17,44.2
2009,Virginia,Eastern,Eastern Shore,Accomack,Shigellosis,38462,1,2.6
2009,Virginia,Eastern,Eastern Shore,Accomack,"Streptococcus, Group A, invasive",38462,1,2.6
2009,Virginia,Eastern,Eastern Shore,Accomack,Varicella (Chickenpox),38462,4,10.4
2009,Virginia,Eastern,Eastern Shore,Northampton,Campylobacteriosis,13492,2,14.8
2009,Virginia,Eastern,Eastern Shore,Northampton,Giardiasis,13492,1,7.4
2009,Virginia,Eastern,Eastern Shore,Northampton,"Hepatitis B, chronic",13492,3,22.2
2009,Virginia,Eastern,Eastern Shore,Northampton,"Hepatitis C, chronic",13492,21,155.6
2009,Virginia,Eastern,Eastern Shore,Northampton,"Lead, elevated levels",13492,2,14.8
2009,Virginia,Eastern,Eastern Shore,Northampton,Lyme disease,13492,8,59.3
2009,Virginia,Eastern,Eastern Shore,Northampton,Salmonellosis,13492,3,22.2
2009,Virginia,Eastern,Hampton,Hampton (city),Anaplasma/Ehrlichiosis,144236,1,0.7
2009,Virginia,Eastern,Hampton,Hampton (city),Brucellosis,144236,4,2.8
2009,Virginia,Eastern,Hampton,Hampton (city),Campylobacteriosis,144236,11,7.6
2009,Virginia,Eastern,Hampton,Hampton (city),Cryptosporidiosis,144236,1,0.7
2009,Virginia,Eastern,Hampton,Hampton (city),"Escherichia coli infection, Shiga Toxin-Producing",144236,1,0.7
2009,Virginia,Eastern,Hampton,Hampton (city),Giardiasis,144236,11,7.6
2009,Virginia,Eastern,Hampton,Hampton (city),"Hepatitis B, acute",144236,2,1.4
2009,Virginia,Eastern,Hampton,Hampton (city),"Hepatitis B, chronic",144236,19,13.2
2009,Virginia,Eastern,Hampton,Hampton (city),"Hepatitis C, chronic",144236,127,88.1
2009,Virginia,Eastern,Hampton,Hampton (city),"Lead, elevated levels",144236,3,2.1
2009,Virginia,Eastern,Hampton,Hampton (city),Legionellosis,144236,2,1.4
2009,Virginia,Eastern,Hampton,Hampton (city),Lyme disease,144236,3,2.1
2009,Virginia,Eastern,Hampton,Hampton (city),Malaria,144236,1,0.7
