Year,County,Condition,"Rate per 100,000"
2009,New Kent,"Escherichia coli infection, Shiga Toxin-Producing",5.5
2009,New Kent,Giardiasis,11.0
2009,New Kent,"Haemophilus influenzae, invasive",5.5
2009,New Kent,"Hepatitis B, chronic",11.0
2009,New Kent,"Hepatitis C, chronic",320.2
2009,New Kent,"Lead, elevated levels",5.5
2009,New Kent,Meningococcal disease,5.5
2009,New Kent,Salmonellosis,11.0
2009,New Kent,Varicella (Chickenpox),16.6
2009,Dinwiddie,Campylobacteriosis,7.6
2009,Dinwiddie,Cryptosporidiosis,3.8
2009,Dinwiddie,Giardiasis,3.8
2009,Dinwiddie,"Hepatitis B, chronic",22.8
2009,Dinwiddie,"Hepatitis C, chronic",102.5
2009,Dinwiddie,"Lead, elevated levels",11.4
2009,Dinwiddie,Pertussis,3.8
2009,Dinwiddie,Salmonellosis,22.8
2009,Dinwiddie,Shigellosis,11.4
2009,Dinwiddie,Spotted Fever Rickettsiosis (including RMSF),3.8
2009,Dinwiddie,"Streptococcus, Group A, invasive",3.8
2009,Dinwiddie,Tuberculosis,3.8
2009,Dinwiddie,Varicella (Chickenpox),22.8
2009,Emporia (city),"Hepatitis B, chronic",17.7
2009,Emporia (city),"Hepatitis C, chronic",142.0
2009,Emporia (city),"Lead, elevated levels",35.5
2009,Emporia (city),Salmonellosis,17.7
2009,Emporia (city),Spotted Fever Rickettsiosis (including RMSF),17.7
2009,Greensville,"Hepatitis B, acute",8.3
2009,Greensville,"Hepatitis B, chronic",49.8
2009,Greensville,"Hepatitis C, chronic",912.9
2009,Greensville,Salmonellosis,8.3
2009,Greensville,Varicella (Chickenpox),16.6
2009,Hopewell (city),Campylobacteriosis,17.3
2009,Hopewell (city),"Haemophilus influenzae, invasive",4.3
2009,Hopewell (city),"Hepatitis B, acute",4.3
2009,Hopewell (city),"Hepatitis B, chronic",13.0
2009,Hopewell (city),"Hepatitis C, chronic",250.8
2009,Hopewell (city),Malaria,4.3
2009,Hopewell (city),Pertussis,4.3
2009,Hopewell (city),Salmonellosis,8.6
2009,Hopewell (city),Varicella (Chickenpox),8.6
2009,Petersburg (city),Campylobacteriosis,9.1
2009,Petersburg (city),"Haemophilus influenzae, invasive",3.0
2009,Petersburg (city),"Hepatitis B, acute",3.0
2009,Petersburg (city),"Hepatitis B, chronic",30.3
2009,Petersburg (city),"Hepatitis C, chronic",294.1
2009,Petersburg (city),"Lead, elevated levels",54.6
2009,Petersburg (city),Legionellosis,3.0
2009,Petersburg (city),Lyme disease,3.0
2009,Petersburg (city),Pertussis,3.0
2009,Petersburg (city),Salmonellosis,12.1
2009,Petersburg (city),Shigellosis,3.0
2009,Petersburg (city),"Streptococcus, Group A, invasive",3.0
2009,Petersburg (city),Tuberculosis,15.2
2009,Petersburg (city),Varicella (Chickenpox),6.1
2009,Prince George,Campylobacteriosis,8.1
2009,Prince George,Giardiasis,2.7
2009,Prince George,"Hepatitis B, acute",2.7
2009,Prince George,"Hepatitis B, chronic",18.9
2009,Prince George,"Hepatitis C, chronic",97.0
2009,Prince George,Lyme disease,5.4
2009,Prince George,Salmonellosis,2.7
2009,Prince George,Spotted Fever Rickettsiosis (including RMSF),8.1
2009,Prince George,Varicella (Chickenpox),8.1
2009,Surry,Campylobacteriosis,14.1
2009,Surry,Cryptosporidiosis,14.1
2009,Surry,"Escherichia coli infection, Shiga Toxin-Producing",14.1
2009,Surry,"Hepatitis B, chronic",14.1
2009,Surry,"Hepatitis C, chronic",42.3
2009,Surry,Salmonellosis,14.1
2009,Surry,"Streptococcus, Group A, invasive",14.1
2009,Sussex,Cryptosporidiosis,8.3
2009,Sussex,Giardiasis,8.3
2009,Sussex,"Hepatitis B, chronic",24.8
2009,Sussex,"Hepatitis C, chronic",198.1
2009,Sussex,"Lead, elevated levels",16.5
2009,Sussex,Salmonellosis,24.8
2009,Henrico,Anaplasma/Ehrlichiosis,1.0
2009,Henrico,Brucellosis,0.3
2009,Henrico,Campylobacteriosis,8.4
2009,Henrico,Cryptosporidiosis,0.7
2009,Henrico,"Escherichia coli infection, Shiga Toxin-Producing",1.0
2009,Henrico,Giardiasis,13.8
2009,Henrico,"Haemophilus influenzae, invasive",0.3
2009,Henrico,Hepatitis A,1.0
2009,Henrico,"Hepatitis B, acute",3.0
2009,Henrico,"Hepatitis B, chronic",23.3
2009,Henrico,"Hepatitis C, acute",0.7
2009,Henrico,"Hepatitis C, chronic",95.1
2009,Henrico,"Lead, elevated levels",4.7
2009,Henrico,Legionellosis,0.3
2009,Henrico,Listeriosis,0.7
2009,Henrico,Lyme disease,1.7
2009,Henrico,Malaria,0.7
2009,Henrico,Meningococcal disease,0.7
2009,Henrico,Pertussis,5.7
2009,Henrico,Salmonellosis,11.5
2009,Henrico,Shigellosis,2.7
2009,Henrico,"Streptococcus pneumoniae, invasive (age lt 5)",1.0
2009,Henrico,"Streptococcus, Group A, invasive",4.7
2009,Henrico,Tuberculosis,1.7
2009,Henrico,Typhoid fever (Salmonella typhi),0.7
2009,Henrico,Varicella (Chickenpox),6.4
2009,Henrico,"Vibriosis, non-cholera",0.3
2009,Henrico,Yersiniosis,0.3
2009,Amelia,"Hepatitis C, chronic",38.8
2009,Amelia,Salmonellosis,23.3
2009,Buckingham,"Hepatitis B, chronic",18.7
2009,Buckingham,"Hepatitis C, chronic",236.3
2009,Charlotte,"Hepatitis C, chronic",33.2
2009,Charlotte,"Lead, elevated levels",16.6
2009,Charlotte,Salmonellosis,33.2
2009,Charlotte,Tuberculosis,8.3
2009,Cumberland,Campylobacteriosis,20.5
2009,Cumberland,"Hepatitis B, chronic",20.5
2009,Cumberland,"Hepatitis C, chronic",10.2
2009,Cumberland,"Lead, elevated levels",10.2
2009,Cumberland,Salmonellosis,20.5
2009,Lunenburg,"Escherichia coli infection, Shiga Toxin-Producing",7.8
2009,Lunenburg,"Hepatitis B, chronic",7.8
2009,Lunenburg,"Hepatitis C, chronic",62.5
2009,Lunenburg,"Lead, elevated levels",23.4
2009,Lunenburg,Salmonellosis,7.8
2009,Nottoway,Campylobacteriosis,6.3
2009,Nottoway,Giardiasis,6.3
2009,Nottoway,"Haemophilus influenzae, invasive",6.3
2009,Nottoway,"Hepatitis B, chronic",12.6
2009,Nottoway,"Hepatitis C, chronic",94.2
2009,Nottoway,"Lead, elevated levels",37.7
2009,Nottoway,Lyme disease,6.3
2009,Nottoway,Salmonellosis,18.8
2009,Nottoway,"Streptococcus, Group A, invasive",6.3
2009,Nottoway,Tuberculosis,6.3
2009,Nottoway,Varicella (Chickenpox),12.6
2009,Prince Edward,"Escherichia coli infection, Shiga Toxin-Producing",4.5
2009,Prince Edward,Giardiasis,8.9
2009,Prince Edward,"Hepatitis B, chronic",4.5
2009,Prince Edward,"Hepatitis C, chronic",58.1
2009,Prince Edward,"Lead, elevated levels",8.9
2009,Prince Edward,Pertussis,4.5
2009,Prince Edward,Salmonellosis,22.4
2009,Prince Edward,Shigellosis,8.9
2009,Richmond (city),Campylobacteriosis,5.9
2009,Richmond (city),Chikungunya,0.5
2009,Richmond (city),Cryptosporidiosis,0.5
2009,Richmond (city),"Escherichia coli infection, Shiga Toxin-Producing",1.0
2009,Richmond (city),Giardiasis,6.4
2009,Richmond (city),"Haemophilus influenzae, invasive",1.0
2009,Richmond (city),"Hepatitis B, acute",9.3
2009,Richmond (city),"Hepatitis B, chronic",32.3
2009,Richmond (city),"Hepatitis C, chronic",195.2
2009,Richmond (city),"Lead, elevated levels",28.9
2009,Richmond (city),Legionellosis,1.0
2009,Richmond (city),Listeriosis,1.0
2009,Richmond (city),Lyme disease,2.9
2009,Richmond (city),Malaria,0.5
2009,Richmond (city),Mumps,0.5
2009,Richmond (city),Pertussis,2.9
2009,Richmond (city),Salmonellosis,14.2
2009,Richmond (city),Shigellosis,9.3
2009,Richmond (city),Spotted Fever Rickettsiosis (including RMSF),0.5
2009,Richmond (city),"Streptococcus pneumoniae, invasive (age lt 5)",1.0
2009,Richmond (city),"Streptococcus, Group A, invasive",4.4
2009,Richmond (city),Tuberculosis,5.9
2009,Richmond (city),Typhoid fever (Salmonella typhi),0.5
2009,Richmond (city),Varicella (Chickenpox),4.9
2009,Richmond (city),"Vibriosis, non-cholera",1.5
2009,Brunswick,"Hepatitis B, chronic",5.7
2009,Brunswick,"Hepatitis C, chronic",256.9
2009,Brunswick,"Lead, elevated levels",5.7
2009,Brunswick,Salmonellosis,17.1
2009,Brunswick,Varicella (Chickenpox),22.8
2009,Brunswick,Yersiniosis,5.7
2009,Halifax,Campylobacteriosis,2.8
2009,Halifax,"Escherichia coli infection, Shiga Toxin-Producing",2.8
2009,Halifax,Giardiasis,2.8
2009,Halifax,"Hepatitis B, chronic",11.3
2009,Halifax,"Hepatitis C, chronic",42.5
2009,Halifax,"Lead, elevated levels",2.8
2009,Halifax,Salmonellosis,11.3
2009,Mecklenburg,Anaplasma/Ehrlichiosis,3.1
2009,Mecklenburg,Campylobacteriosis,15.6
2009,Mecklenburg,"Hepatitis B, chronic",15.6
2009,Mecklenburg,"Hepatitis C, chronic",197.1
2009,Mecklenburg,"Lead, elevated levels",9.4
2009,Mecklenburg,Lyme disease,3.1
2009,Mecklenburg,Malaria,3.1
2009,Mecklenburg,Salmonellosis,12.5
2009,Chesapeake (city),Campylobacteriosis,6.7
2009,Chesapeake (city),Cryptosporidiosis,0.4
2009,Chesapeake (city),"Escherichia coli infection, Shiga Toxin-Producing",0.9
2009,Chesapeake (city),Giardiasis,3.1
2009,Chesapeake (city),"Haemophilus influenzae, invasive",1.8
2009,Chesapeake (city),"Hepatitis B, acute",1.3
2009,Chesapeake (city),"Hepatitis B, chronic",13.9
2009,Chesapeake (city),"Hepatitis C, acute",0.4
2009,Chesapeake (city),"Hepatitis C, chronic",68.8
2009,Chesapeake (city),"Lead, elevated levels",2.7
2009,Chesapeake (city),Legionellosis,0.4
2009,Chesapeake (city),Lyme disease,2.2
2009,Chesapeake (city),Malaria,0.9
2009,Chesapeake (city),Pertussis,2.7
2009,Chesapeake (city),Salmonellosis,16.6
2009,Chesapeake (city),"Streptococcus pneumoniae, invasive (age lt 5)",1.3
2009,Chesapeake (city),"Streptococcus, Group A, invasive",2.7
2009,Chesapeake (city),"Toxic-shock syndrome, streptococcal",0.4
2009,Chesapeake (city),Tuberculosis,2.7
2009,Chesapeake (city),Varicella (Chickenpox),10.3
2009,Accomack,Campylobacteriosis,7.8
2009,Accomack,Cryptosporidiosis,5.2
2009,Accomack,Giardiasis,5.2
2009,Accomack,Hepatitis A,2.6
2009,Accomack,"Hepatitis B, acute",2.6
2009,Accomack,"Hepatitis B, chronic",10.4
2009,Accomack,"Hepatitis C, chronic",104.0
2009,Accomack,"Lead, elevated levels",18.2
2009,Accomack,Listeriosis,5.2
2009,Accomack,Lyme disease,33.8
2009,Accomack,Pertussis,5.2
2009,Accomack,Salmonellosis,44.2
2009,Accomack,Shigellosis,2.6
2009,Accomack,"Streptococcus, Group A, invasive",2.6
2009,Accomack,Varicella (Chickenpox),10.4
2009,Northampton,Campylobacteriosis,14.8
2009,Northampton,Giardiasis,7.4
2009,Northampton,"Hepatitis B, chronic",22.2
2009,Northampton,"Hepatitis C, chronic",155.6
2009,Northampton,"Lead, elevated levels",14.8
2009,Northampton,Lyme disease,59.3
2009,Northampton,Salmonellosis,22.2
2009,Hampton (city),Anaplasma/Ehrlichiosis,0.7
2009,Hampton (city),Brucellosis,2.8
2009,Hampton (city),Campylobacteriosis,7.6
2009,Hampton (city),Cryptosporidiosis,0.7
2009,Hampton (city),"Escherichia coli infection, Shiga Toxin-Producing",0.7
2009,Hampton (city),Giardiasis,7.6
2009,Hampton (city),"Hepatitis B, acute",1.4
2009,Hampton (city),"Hepatitis B, chronic",13.2
2009,Hampton (city),"Hepatitis C, chronic",88.1
2009,Hampton (city),"Lead, elevated levels",2.1
2009,Hampton (city),Legionellosis,1.4
2009,Hampton (city),Lyme disease,2.1
2009,Hampton (city),Malaria,0.7
2009,Hampton (city),Mumps,1.4
2009,Hampton (city),Salmonellosis,6.9
2009,Hampton (city),"Streptococcus pneumoniae, invasive (age lt 5)",1.4
2009,Hampton (city),"Streptococcus, Group A, invasive",0.7
2009,Hampton (city),Tuberculosis,2.1
2009,Hampton (city),Varicella (Chickenpox),5.5
2009,Norfolk (city),Campylobacteriosis,4.7
2009,Norfolk (city),Cryptosporidiosis,1.3
2009,Norfolk (city),"Escherichia coli infection, Shiga Toxin-Producing",0.4
2009,Norfolk (city),Giardiasis,4.3
2009,Norfolk (city),"Haemophilus influenzae, invasive",1.7
2009,Norfolk (city),"Hepatitis B, acute",1.7
2009,Norfolk (city),"Hepatitis B, chronic",18.4
2009,Norfolk (city),"Hepatitis C, chronic",116.6
2009,Norfolk (city),"Lead, elevated levels",9.0
2009,Norfolk (city),Legionellosis,0.9
2009,Norfolk (city),Lyme disease,0.4
2009,Norfolk (city),Malaria,0.4
2009,Norfolk (city),Meningococcal disease,0.4
2009,Norfolk (city),Pertussis,0.9
2009,Norfolk (city),Salmonellosis,9.4
2009,Norfolk (city),Shigellosis,0.9
2009,Norfolk (city),Spotted Fever Rickettsiosis (including RMSF),0.4
2009,Norfolk (city),"Streptococcus pneumoniae, invasive (age lt 5)",1.7
2009,Norfolk (city),"Streptococcus, Group A, invasive",2.6
2009,Norfolk (city),Tuberculosis,2.1
2009,Norfolk (city),Varicella (Chickenpox),5.6
2009,Norfolk (city),"Vibriosis, non-cholera",1.3
2009,James City,Anaplasma/Ehrlichiosis,1.6
2009,James City,"Escherichia coli infection, Shiga Toxin-Producing",4.7
2009,James City,Giardiasis,3.1
2009,James City,"Haemophilus influenzae, invasive",1.6
2009,James City,"Hepatitis B, chronic",6.3
2009,James City,"Hepatitis C, chronic",22.0
2009,James City,Legionellosis,1.6
2009,James City,Lyme disease,9.4
2009,James City,Pertussis,1.6
2009,James City,Salmonellosis,12.6
2009,James City,Shigellosis,3.1
2009,James City,Spotted Fever Rickettsiosis (including RMSF),1.6
2009,James City,"Streptococcus, Group A, invasive",3.1
2009,James City,Varicella (Chickenpox),1.6
2009,Newport News (city),Anaplasma/Ehrlichiosis,1.6
2009,Newport News (city),Campylobacteriosis,5.2
2009,Newport News (city),Cryptosporidiosis,1.0
2009,Newport News (city),"Escherichia coli infection, Shiga Toxin-Producing",0.5
2009,Newport News (city),Giardiasis,8.3
2009,Newport News (city),"Hepatitis B, acute",2.1
2009,Newport News (city),"Hepatitis B, chronic",21.7
2009,Newport News (city),"Hepatitis C, chronic",126.3
2009,Newport News (city),"Lead, elevated levels",5.7
2009,Newport News (city),Lyme disease,2.1
2009,Newport News (city),Meningococcal disease,0.5
2009,Newport News (city),Pertussis,0.5
2009,Newport News (city),Salmonellosis,9.3
2009,Newport News (city),Shigellosis,1.0
2009,Newport News (city),"Streptococcus pneumoniae, invasive (age lt 5)",1.0
2009,Newport News (city),"Streptococcus, Group A, invasive",1.0
2009,Newport News (city),Tuberculosis,2.6
2009,Newport News (city),Varicella (Chickenpox),5.2
2009,Newport News (city),"Vibriosis, non-cholera",0.5
2009,Poquoson (city),Campylobacteriosis,17.0
2009,Poquoson (city),Cryptosporidiosis,8.5
2009,Poquoson (city),"Hepatitis B, chronic",8.5
2009,Poquoson (city),"Hepatitis C, chronic",17.0
2009,Poquoson (city),Lyme disease,8.5
2009,Poquoson (city),Salmonellosis,25.4
2009,Poquoson (city),"Streptococcus, Group A, invasive",8.5
2009,Williamsburg (city),Anaplasma/Ehrlichiosis,7.9
2009,Williamsburg (city),Campylobacteriosis,55.0
2009,Williamsburg (city),"Escherichia coli infection, Shiga Toxin-Producing",23.6
2009,Williamsburg (city),Giardiasis,31.4
2009,Williamsburg (city),"Haemophilus influenzae, invasive",7.9
2009,Williamsburg (city),"Hepatitis B, acute",7.9
2009,Williamsburg (city),"Hepatitis B, chronic",39.3
2009,Williamsburg (city),"Hepatitis C, chronic",204.3
2009,Williamsburg (city),"Lead, elevated levels",15.7
2009,Williamsburg (city),Listeriosis,7.9
2009,Williamsburg (city),Lyme disease,23.6
2009,Williamsburg (city),Salmonellosis,86.4
2009,Williamsburg (city),Spotted Fever Rickettsiosis (including RMSF),15.7
2009,Williamsburg (city),"Vibriosis, non-cholera",7.9
2009,York,Anaplasma/Ehrlichiosis,1.6
2009,York,Campylobacteriosis,1.6
2009,York,"Escherichia coli infection, Shiga Toxin-Producing",1.6
2009,York,Giardiasis,6.5
2009,York,"Hepatitis B, chronic",14.7
2009,York,"Hepatitis C, chronic",19.6
2009,York,Lyme disease,3.3
2009,York,Malaria,1.6
2009,York,Pertussis,4.9
2009,York,Salmonellosis,13.1
2009,York,Spotted Fever Rickettsiosis (including RMSF),1.6
2009,York,"Streptococcus, Group A, invasive",1.6
2009,York,Typhoid fever (Salmonella typhi),1.6
2009,York,"Vibriosis, non-cholera",1.6
2009,Portsmouth (city),Campylobacteriosis,4.0
2009,Portsmouth (city),Giardiasis,1.0
2009,Portsmouth (city),"Haemophilus influenzae, invasive",1.0
2009,Portsmouth (city),"Hepatitis B, acute",3.0
2009,Portsmouth (city),"Hepatitis B, chronic",32.2
2009,Portsmouth (city),"Hepatitis C, chronic",165.1
2009,Portsmouth (city),"Lead, elevated levels",6.0
2009,Portsmouth (city),Legionellosis,1.0
2009,Portsmouth (city),Lyme disease,1.0
2009,Portsmouth (city),Pertussis,4.0
2009,Portsmouth (city),Salmonellosis,10.1
2009,Portsmouth (city),Shigellosis,2.0
2009,Portsmouth (city),Spotted Fever Rickettsiosis (including RMSF),1.0
2009,Portsmouth (city),"Streptococcus, Group A, invasive",5.0
2009,Portsmouth (city),Tuberculosis,2.0
2009,Portsmouth (city),Varicella (Chickenpox),4.0
2009,Essex,Anaplasma/Ehrlichiosis,8.9
2009,Essex,Campylobacteriosis,26.8
2009,Essex,"Hepatitis C, chronic",26.8
2009,Essex,Lyme disease,8.9
2009,Essex,Salmonellosis,8.9
2009,Essex,Varicella (Chickenpox),8.9
2009,Gloucester,Campylobacteriosis,5.1
2009,Gloucester,Giardiasis,5.1
2009,Gloucester,"Hepatitis B, chronic",2.6
2009,Gloucester,"Hepatitis C, chronic",61.2
2009,Gloucester,"Lead, elevated levels",5.1
2009,Gloucester,Salmonellosis,20.4
2009,Gloucester,Spotted Fever Rickettsiosis (including RMSF),2.6
2009,Gloucester,Tuberculosis,2.6
2009,King and Queen,"Hepatitis C, chronic",73.6
2009,King and Queen,Salmonellosis,29.4
2009,King William,Campylobacteriosis,18.5
2009,King William,Giardiasis,6.2
2009,King William,"Hepatitis B, chronic",6.2
2009,King William,"Hepatitis C, chronic",49.3
2009,King William,"Lead, elevated levels",6.2
2009,King William,Listeriosis,6.2
2009,King William,Malaria,6.2
2009,King William,Pertussis,6.2
2009,King William,Salmonellosis,24.7
2009,King William,Shigellosis,12.3
2009,King William,Varicella (Chickenpox),24.7
2009,Lancaster,"Hepatitis B, chronic",17.8
2009,Lancaster,"Hepatitis C, chronic",71.2
2009,Mathews,"Hepatitis B, chronic",22.3
2009,Mathews,"Hepatitis C, chronic",33.4
2009,Mathews,"Lead, elevated levels",11.1
2009,Mathews,Salmonellosis,33.4
2009,Middlesex,Botulism,9.3
2009,Middlesex,Giardiasis,9.3
2009,Middlesex,"Hepatitis B, chronic",18.6
2009,Middlesex,"Hepatitis C, chronic",18.6
2009,Middlesex,Varicella (Chickenpox),37.3
2009,Northumberland,"Hepatitis C, chronic",69.3
2009,Northumberland,"Lead, elevated levels",46.2
2009,Northumberland,Lyme disease,30.8
2009,Northumberland,Salmonellosis,23.1
2009,Northumberland,Shigellosis,7.7
2009,Northumberland,"Vibriosis, non-cholera",7.7
2009,Richmond,Campylobacteriosis,11.2
2009,Richmond,"Hepatitis B, chronic",33.5
2009,Richmond,"Hepatitis C, chronic",513.3
2009,Richmond,"Lead, elevated levels",22.3
2009,Richmond,Lyme disease,11.2
2009,Richmond,Salmonellosis,11.2
2009,Richmond,Tuberculosis,11.2
2009,Richmond,Varicella (Chickenpox),11.2
2009,Westmoreland,Anaplasma/Ehrlichiosis,5.7
2009,Westmoreland,Campylobacteriosis,17.0
2009,Westmoreland,"Escherichia coli infection, Shiga Toxin-Producing",5.7
2009,Westmoreland,Giardiasis,5.7
2009,Westmoreland,"Haemophilus influenzae, invasive",11.3
2009,Westmoreland,Hepatitis A,5.7
2009,Westmoreland,"Hepatitis B, chronic",5.7
2009,Westmoreland,"Hepatitis C, chronic",45.2
2009,Westmoreland,"Lead, elevated levels",5.7
2009,Westmoreland,Salmonellosis,39.6
2009,Westmoreland,"Vibriosis, non-cholera",5.7
2009,Westmoreland,Yersiniosis,5.7
2009,Virginia Beach (city),Amebiasis,0.2
2009,Virginia Beach (city),Campylobacteriosis,8.1
2009,Virginia Beach (city),Cryptosporidiosis,0.2
2009,Virginia Beach (city),"Escherichia coli infection, Shiga Toxin-Producing",0.9
2009,Virginia Beach (city),Giardiasis,4.6
2009,Virginia Beach (city),"Haemophilus influenzae, invasive",0.9
2009,Virginia Beach (city),"Hepatitis B, acute",0.9
2009,Virginia Beach (city),"Hepatitis B, chronic",12.9
2009,Virginia Beach (city),"Hepatitis C, chronic",39.7
2009,Virginia Beach (city),"Lead, elevated levels",0.2
2009,Virginia Beach (city),Meningococcal disease,0.2
2009,Virginia Beach (city),Pertussis,2.8
2009,Virginia Beach (city),Salmonellosis,15.5
2009,Virginia Beach (city),Shigellosis,0.7
2009,Virginia Beach (city),Spotted Fever Rickettsiosis (including RMSF),0.2
2009,Virginia Beach (city),"Streptococcus pneumoniae, invasive (age lt 5)",0.9
2009,Virginia Beach (city),"Streptococcus, Group A, invasive",3.5
2009,Virginia Beach (city),Tuberculosis,3.0
2009,Virginia Beach (city),Varicella (Chickenpox),23.3
2009,Virginia Beach (city),"Vibriosis, non-cholera",0.9
2009,Virginia Beach (city),Yersiniosis,0.2
2009,Franklin (city),Campylobacteriosis,22.7
2009,Franklin (city),"Hepatitis B, chronic",34.0
2009,Franklin (city),"Hepatitis C, chronic",113.5
2009,Franklin (city),"Lead, elevated levels",11.3
2009,Franklin (city),Salmonellosis,45.4
2009,Franklin (city),Shigellosis,11.3
2009,Isle of Wight,Campylobacteriosis,2.8
2009,Isle of Wight,Giardiasis,2.8
2009,Isle of Wight,"Hepatitis B, chronic",2.8
2009,Isle of Wight,"Hepatitis C, chronic",36.2
2009,Isle of Wight,Salmonellosis,25.1
2009,Isle of Wight,Tuberculosis,2.8
2009,Isle of Wight,Varicella (Chickenpox),2.8
2009,Isle of Wight,"Vibriosis, non-cholera",2.8
2009,Isle of Wight,Yersiniosis,2.8
2009,Southampton,Campylobacteriosis,5.4
2009,Southampton,"Hepatitis C, chronic",184.0
2009,Southampton,Salmonellosis,10.8
2009,Southampton,Tuberculosis,5.4
2009,Southampton,"Vibriosis, non-cholera",5.4
2009,Suffolk (city),Campylobacteriosis,1.2
2009,Suffolk (city),Giardiasis,3.6
2009,Suffolk (city),"Hepatitis B, acute",2.4
2009,Suffolk (city),"Hepatitis B, chronic",6.0
2009,Suffolk (city),"Hepatitis C, chronic",41.8
2009,Suffolk (city),"Lead, elevated levels",12.0
2009,Suffolk (city),Pertussis,2.4
2009,Suffolk (city),Salmonellosis,19.1
2009,Suffolk (city),Shigellosis,1.2
2009,Suffolk (city),"Streptococcus, Group A, invasive",2.4
2009,Suffolk (city),Tuberculosis,1.2
2009,Alexandria (city),Amebiasis,0.7
2009,Alexandria (city),Campylobacteriosis,20.0
2009,Alexandria (city),"Escherichia coli infection, Shiga Toxin-Producing",1.3
2009,Alexandria (city),Giardiasis,10.0
2009,Alexandria (city),"Haemophilus influenzae, invasive",0.7
2009,Alexandria (city),Hepatitis A,1.3
2009,Alexandria (city),"Hepatitis B, acute",0.7
2009,Alexandria (city),"Hepatitis B, chronic",40.0
2009,Alexandria (city),"Hepatitis C, chronic",67.3
2009,Alexandria (city),"Lead, elevated levels",5.3
2009,Alexandria (city),Legionellosis,0.7
2009,Alexandria (city),Lyme disease,6.0
